YYMMMDD __east(m) _north(m) ____up(m)
12MAY18 0.351381 0.556296 0.223424
12MAY19 0.350209 0.556071 0.232536
12MAY20 0.352132 0.553612 0.226231
12MAY21 0.352646 0.555268 0.229461
12MAY22 0.355194 0.554282 0.228655
12MAY23 0.352800 0.553837 0.225223
12MAY24 0.353887 0.556234 0.224727
12MAY25 0.351288 0.556259 0.223607
12MAY26 0.351896 0.555869 0.223685
12MAY27 0.352934 0.554189 0.222070
12MAY28 0.352082 0.554172 0.220081
12MAY29 0.352624 0.554471 0.223213
12MAY30 0.353923 0.553938 0.227025
12MAY31 0.353046 0.556037 0.222028
12JUN01 0.351973 0.555971 0.222067
12JUN02 0.351213 0.557104 0.214833
12JUN03 0.352178 0.556916 0.220901
12JUN04 0.351608 0.553915 0.222965
12JUN05 0.352409 0.554063 0.227658
12JUN06 0.352903 0.554655 0.222102
12JUN07 0.350501 0.555505 0.223863
12JUN08 0.357014 0.556204 0.226606
12JUN09 0.351369 0.555541 0.219441
12JUN10 0.350732 0.551523 0.244214
12JUN11 0.348283 0.552843 0.237222
12JUN12 0.349783 0.554407 0.225125
12JUN13 0.353325 0.553523 0.223604
12JUN14 0.353375 0.556172 0.215461
12JUN15 0.352979 0.554764 0.219313
12JUN16 0.353843 0.557074 0.221454
12JUN17 0.353561 0.555788 0.218627
12JUN18 0.353887 0.555122 0.226245
12JUN19 0.351066 0.556846 0.216665
12JUN20 0.352023 0.557064 0.214059
12JUN21 0.351986 0.556260 0.220959
12JUN22 0.353259 0.555643 0.220029
12JUN23 0.352726 0.555282 0.229792
12JUN24 0.352507 0.555910 0.219496
12JUN25 0.350945 0.555557 0.221804
12JUN26 0.351524 0.552620 0.221490
12JUN27 0.350295 0.554487 0.213954
12JUN28 0.351878 0.554822 0.212533
12JUN29 0.354167 0.552808 0.220241
12JUN30 0.352260 0.553332 0.221373
12JUL01 0.351994 0.552892 0.225399
12JUL02 0.351715 0.551031 0.219210
12JUL03 0.352284 0.552322 0.222174
12JUL04 0.352497 0.554277 0.223736
12JUL05 0.352010 0.550186 0.225330
12JUL06 0.351225 0.551694 0.223806
12JUL07 0.351397 0.552240 0.222279
12JUL08 0.350232 0.553182 0.220022
12JUL09 0.351325 0.553118 0.219856
12JUL10 0.350897 0.551399 0.227767
12JUL11 0.351256 0.552355 0.223482
12JUL12 0.351962 0.553499 0.226367
12JUL13 0.351752 0.553981 0.230568
12JUL14 0.350072 0.552449 0.221795
12JUL15 0.350478 0.552234 0.227060
12JUL16 0.347527 0.552350 0.216123
12JUL17 0.351275 0.553510 0.220333
12JUL18 0.353371 0.553390 0.222871
12JUL19 0.352884 0.553317 0.223145
12JUL20 0.352505 0.553490 0.222869
12JUL21 0.351717 0.552830 0.221396
12JUL22 0.351719 0.552236 0.217561
12JUL23 0.352738 0.552597 0.222769
12JUL24 0.349921 0.553429 0.222883
12JUL25 0.350423 0.553577 0.213320
12JUL26 0.352045 0.552755 0.220182
12JUL27 0.351712 0.552854 0.221971
12JUL28 0.352393 0.553385 0.218612
12JUL29 0.351392 0.553271 0.221034
12JUL30 0.352400 0.555174 0.215816
12JUL31 0.352896 0.553690 0.224631
12AUG01 0.352159 0.553087 0.221699
12AUG02 0.352257 0.552996 0.225983
12AUG03 0.351284 0.554620 0.217569
12AUG04 0.352761 0.554558 0.224987
12AUG05 0.354138 0.551692 0.220368
12AUG06 0.354758 0.553062 0.216955
12AUG07 0.354077 0.553429 0.220149
12AUG08 0.354560 0.554430 0.220051
12AUG09 0.353860 0.552884 0.227901
12AUG10 0.352341 0.553450 0.216280
12AUG11 0.353243 0.554006 0.218125
12AUG12 0.353596 0.553438 0.222136
12AUG13 0.354019 0.555625 0.220500
12AUG14 0.352409 0.554808 0.220347
12AUG15 0.354092 0.555010 0.219203
12AUG16 0.353864 0.556816 0.223619
12AUG17 0.355728 0.556721 0.216741
12AUG18 0.353160 0.553166 0.214848
12AUG19 0.352961 0.553195 0.219346
12AUG20 0.352533 0.554254 0.210372
12AUG21 0.352722 0.553342 0.215659
12AUG22 0.355677 0.552597 0.217988
12AUG23 0.353656 0.554536 0.211928
12AUG24 0.353809 0.553817 0.222191
12AUG25 0.353933 0.553732 0.222560
12AUG26 0.353227 0.554096 0.220648
12AUG27 0.353693 0.556010 0.221538
12AUG28 0.352883 0.555882 0.225153
12AUG29 0.354099 0.554239 0.222562
12AUG30 0.353081 0.554617 0.218466
12AUG31 0.354837 0.553253 0.224373
12SEP01 0.354194 0.555936 0.219517
12SEP02 0.354348 0.553922 0.219053
12SEP03 0.354970 0.553787 0.219391
12SEP04 0.354454 0.554400 0.217399
12SEP05 0.354832 0.554367 0.219790
12SEP06 0.355593 0.555562 0.226002
12SEP07 0.353958 0.552802 0.219869
12SEP08 0.350369 0.551416 0.204667
12SEP09 0.348492 0.556257 0.211609
12SEP10 0.353969 0.554110 0.220813
12SEP11 0.352114 0.553909 0.215206
12SEP12 0.354432 0.553411 0.215343
